time,open,high,low,close,volume,symbol
2020-01-02,10.44,10.44,10.44,10.44,0,CMV
2020-01-03,10.44,10.44,10.44,10.44,0,CMV
2020-01-06,10.44,10.44,10.44,10.44,0,CMV
2020-01-07,10.44,10.44,10.44,10.44,0,CMV
2020-01-08,10.44,10.44,10.44,10.44,0,CMV
2020-01-09,10.44,10.44,10.44,10.44,0,CMV
2020-01-10,10.44,10.44,10.44,10.44,0,CMV
2020-01-13,10.44,10.44,10.44,10.44,0,CMV
2020-01-14,10.44,10.44,10.44,10.44,0,CMV
2020-01-15,10.44,10.44,10.44,10.44,0,CMV
2020-01-16,10.44,10.44,10.44,10.44,0,CMV
2020-01-17,10.44,10.44,10.44,10.44,0,CMV
2020-01-20,10.44,10.44,10.44,10.44,0,CMV
2020-01-21,10.44,10.44,10.44,10.44,0,CMV
2020-01-22,10.44,10.44,10.44,10.44,0,CMV
2020-01-30,10.44,10.44,10.44,10.44,0,CMV
2020-01-31,10.44,10.44,10.44,10.44,0,CMV
2020-02-03,10.44,10.44,10.44,10.44,0,CMV
2020-02-04,10.44,10.44,10.44,10.44,0,CMV
2020-02-05,10.44,10.44,10.44,10.44,0,CMV
2020-02-06,10.44,10.44,10.44,10.44,0,CMV
2020-02-07,10.44,10.44,10.44,10.44,0,CMV
2020-02-10,10.44,10.44,10.44,10.44,0,CMV
2020-02-11,9.71,9.71,9.71,9.71,20,CMV
2020-02-12,9.71,9.71,9.71,9.71,0,CMV
2020-02-13,9.04,10.38,9.04,10.38,4270,CMV
2020-02-14,9.68,10.73,9.68,10.73,60,CMV
2020-02-17,10.0,11.46,10.0,11.46,40,CMV
2020-02-18,11.46,11.46,11.46,11.46,0,CMV
2020-02-19,10.67,11.02,10.67,11.02,20,CMV
2020-02-20,11.78,11.78,11.78,11.78,10,CMV
2020-02-21,10.96,11.02,10.96,11.02,20,CMV
2020-02-24,11.02,11.02,11.02,11.02,0,CMV
2020-02-25,11.02,11.02,11.02,11.02,0,CMV
2020-02-26,11.02,11.02,11.02,11.02,0,CMV
2020-02-27,11.6,11.6,10.26,11.6,1060,CMV
2020-02-28,10.82,11.63,10.82,11.63,30,CMV
2020-03-02,11.63,11.63,11.63,11.63,0,CMV
2020-03-03,10.82,10.82,10.82,10.82,10,CMV
2020-03-04,10.82,10.82,10.82,10.82,0,CMV
2020-03-05,10.06,10.06,10.06,10.06,10,CMV
2020-03-06,9.36,9.36,9.36,9.36,10,CMV
2020-03-09,10.0,10.0,8.72,8.72,120,CMV
2020-03-10,8.72,8.72,8.72,8.72,0,CMV
2020-03-11,9.33,9.33,8.11,8.11,9040,CMV
2020-03-12,7.56,7.56,7.56,7.56,100,CMV
2020-03-13,7.04,7.04,7.04,7.04,1990,CMV
2020-03-16,6.57,7.5,6.57,7.5,2070,CMV
2020-03-17,6.98,8.03,6.98,8.03,20,CMV
2020-03-18,7.47,8.58,7.47,8.58,20,CMV
2020-03-19,8.0,9.16,8.0,9.16,40,CMV
2020-03-20,8.52,9.77,8.52,9.77,70,CMV
2020-03-23,9.89,10.44,9.89,10.15,70,CMV
2020-03-24,10.73,10.73,10.64,10.73,570,CMV
2020-03-25,10.0,10.0,10.0,10.0,10,CMV
2020-03-26,9.3,10.7,9.3,10.7,50,CMV
2020-03-27,10.7,10.7,10.7,10.7,0,CMV
2020-03-30,10.73,10.73,10.73,10.73,10,CMV
2020-03-31,10.0,10.7,10.0,10.7,50,CMV
2020-04-01,10.7,10.7,10.7,10.7,0,CMV
2020-04-03,9.97,10.73,9.97,10.73,20,CMV
2020-04-06,10.0,10.0,10.0,10.0,10,CMV
2020-04-07,9.3,10.38,9.3,9.3,1190,CMV
2020-04-08,8.66,9.94,8.66,9.94,110,CMV
2020-04-09,9.28,10.47,9.28,10.47,1130,CMV
2020-04-10,9.74,9.74,9.74,9.74,70,CMV
2020-04-13,9.07,9.07,9.07,9.07,1240,CMV
2020-04-14,8.46,9.51,8.46,9.07,160,CMV
2020-04-15,9.04,9.04,8.46,8.96,470,CMV
2020-04-16,8.35,8.35,8.35,8.35,230,CMV
2020-04-17,7.76,7.88,7.76,7.76,5070,CMV
2020-04-20,7.24,8.29,7.24,8.29,3970,CMV
2020-04-21,8.84,8.84,7.73,8.72,1020,CMV
2020-04-22,9.3,9.3,8.9,9.3,1640,CMV
2020-04-23,8.66,8.66,8.66,8.66,1230,CMV
2020-04-24,8.08,8.72,8.08,8.72,370,CMV
2020-04-27,8.11,8.72,8.11,8.72,300,CMV
2020-04-28,8.11,8.72,8.11,8.72,550,CMV
2020-04-29,8.11,8.69,8.11,8.69,850,CMV
2020-05-04,8.11,8.11,8.11,8.11,160,CMV
2020-05-05,7.56,7.56,7.56,7.56,10,CMV
2020-05-06,7.04,7.04,7.04,7.04,10,CMV
2020-05-07,6.98,6.98,6.57,6.6,1530,CMV
2020-05-08,6.6,6.6,6.6,6.6,0,CMV
2020-05-11,7.04,7.04,7.04,7.04,10,CMV
2020-05-12,7.04,7.04,7.04,7.04,0,CMV
2020-05-13,7.5,7.5,7.5,7.5,100,CMV
2020-05-14,6.98,8.03,6.98,6.98,2460,CMV
2020-05-15,7.44,7.44,7.01,7.07,1030,CMV
2020-05-18,7.56,7.56,7.12,7.56,200,CMV
2020-05-19,8.08,8.08,7.56,7.97,110,CMV
2020-05-20,8.52,8.52,7.41,7.59,150,CMV
2020-05-21,8.11,8.11,7.59,7.59,20,CMV
2020-05-22,7.56,7.56,7.07,7.07,460,CMV
2020-05-25,7.56,7.56,7.18,7.18,130,CMV
2020-05-26,7.56,7.56,7.21,7.21,20,CMV
2020-05-27,7.21,7.71,7.01,7.68,3330,CMV
2020-05-28,7.15,8.11,7.15,7.88,270,CMV
2020-05-29,7.88,7.88,7.88,7.88,20,CMV
2020-06-01,8.37,8.37,8.11,8.11,20,CMV
2020-06-02,8.66,8.66,8.11,8.11,2390,CMV
2020-06-03,8.55,8.55,8.11,8.35,740,CMV
2020-06-04,8.52,8.52,7.76,7.76,1330,CMV
2020-06-05,7.76,8.29,7.24,8.29,820,CMV
2020-06-08,7.76,7.76,7.76,7.76,20,CMV
2020-06-09,7.24,7.56,7.24,7.33,40,CMV
2020-06-10,6.86,7.82,6.86,7.01,600,CMV
2020-06-11,6.66,6.72,6.66,6.72,120,CMV
2020-06-12,6.37,7.18,6.37,6.43,3090,CMV
2020-06-15,6.86,6.86,6.86,6.86,1020,CMV
2020-06-16,7.33,7.33,7.33,7.33,20,CMV
2020-06-17,7.82,7.82,7.82,7.82,1100,CMV
2020-06-18,7.82,8.11,7.3,7.3,2360,CMV
2020-06-19,7.79,7.79,7.79,7.79,10,CMV
2020-06-22,7.88,7.88,7.41,7.88,70,CMV
2020-06-23,7.88,7.88,7.36,7.39,270,CMV
2020-06-24,7.62,7.85,7.41,7.85,3170,CMV
2020-06-25,8.0,8.0,7.36,7.88,170,CMV
2020-06-26,7.94,8.32,7.36,8.08,300,CMV
2020-06-29,7.56,7.82,7.56,7.82,310,CMV
2020-06-30,7.94,7.94,7.3,7.91,650,CMV
2020-07-01,8.11,8.11,7.36,7.73,4510,CMV
2020-07-02,7.21,8.23,7.21,8.05,330,CMV
2020-07-03,8.46,8.46,7.5,7.56,2060,CMV
2020-07-06,7.47,7.5,7.04,7.47,800,CMV
2020-07-07,7.04,7.5,7.04,7.5,440,CMV
2020-07-08,7.5,7.5,6.98,6.98,2320,CMV
2020-07-09,6.98,7.41,6.98,7.41,470,CMV
2020-07-10,7.41,7.62,6.98,7.07,210,CMV
2020-07-13,7.07,7.07,6.98,6.98,20,CMV
2020-07-14,7.04,7.44,7.04,7.44,990,CMV
2020-07-15,7.44,7.56,6.98,6.98,1100,CMV
2020-07-16,7.09,7.09,7.09,7.09,450,CMV
2020-07-17,6.98,7.04,6.98,7.04,280,CMV
2020-07-20,7.09,7.3,7.01,7.3,730,CMV
2020-07-21,6.83,6.83,6.83,6.83,100,CMV
2020-07-22,7.09,7.3,7.09,7.12,600,CMV
2020-07-23,7.01,7.12,7.01,7.12,60,CMV
2020-07-24,6.72,7.62,6.63,7.62,4540,CMV
2020-07-27,7.62,7.62,7.09,7.62,1580,CMV
2020-07-28,7.09,7.62,7.09,7.62,120,CMV
2020-07-29,7.12,7.15,7.09,7.09,1630,CMV
2020-07-30,6.77,6.98,6.77,6.98,520,CMV
2020-07-31,6.72,7.04,6.72,7.04,80,CMV
2020-08-03,6.72,7.27,6.72,7.01,540,CMV
2020-08-04,7.47,7.47,6.72,7.12,160,CMV
2020-08-05,6.63,7.59,6.63,7.12,30,CMV
2020-08-06,7.56,7.56,7.47,7.47,30,CMV
2020-08-07,7.53,7.59,7.53,7.59,30,CMV
2020-08-10,7.56,7.59,7.56,7.59,30,CMV
2020-08-11,7.56,7.56,7.44,7.44,250,CMV
2020-08-12,7.44,7.5,7.36,7.5,240,CMV
2020-08-13,7.62,7.62,7.09,7.62,20,CMV
2020-08-14,7.62,7.62,7.62,7.62,0,CMV
2020-08-17,7.56,7.56,7.56,7.56,100,CMV
2020-08-18,7.56,7.56,7.56,7.56,0,CMV
2020-08-19,7.27,7.56,7.27,7.56,400,CMV
2020-08-20,7.56,7.56,7.56,7.56,150,CMV
2020-08-21,7.56,8.08,7.36,8.08,310,CMV
2020-08-24,8.08,8.08,8.08,8.08,0,CMV
2020-08-25,8.08,8.08,8.08,8.08,0,CMV
2020-08-26,8.08,8.08,8.08,8.08,0,CMV
2020-08-27,7.56,7.56,7.56,7.56,10,CMV
2020-08-28,7.85,7.85,7.85,7.85,10,CMV
2020-08-31,7.85,7.85,7.85,7.85,0,CMV
2020-09-01,7.85,7.85,7.85,7.85,0,CMV
2020-09-03,7.56,7.56,7.56,7.56,440,CMV
2020-09-04,7.85,7.85,7.59,7.59,980,CMV
2020-09-07,7.85,7.85,7.85,7.85,10,CMV
2020-09-08,7.56,7.85,7.56,7.85,90,CMV
2020-09-09,7.56,7.56,7.56,7.56,340,CMV
2020-09-10,7.56,7.56,7.56,7.56,30,CMV
2020-09-11,7.59,7.59,7.59,7.59,1100,CMV
2020-09-14,7.59,7.59,7.59,7.59,0,CMV
2020-09-15,7.62,7.62,7.62,7.62,500,CMV
2020-09-16,7.62,7.62,7.62,7.62,60,CMV
2020-09-17,7.62,7.62,7.62,7.62,0,CMV
2020-09-18,7.62,7.62,7.62,7.62,90,CMV
2020-09-21,7.62,7.62,7.62,7.62,0,CMV
2020-09-22,7.62,7.62,7.62,7.62,0,CMV
2020-09-23,7.62,7.62,7.62,7.62,0,CMV
2020-09-24,7.62,7.62,7.62,7.62,0,CMV
2020-09-25,7.62,7.62,7.62,7.62,0,CMV
2020-09-28,7.62,7.62,7.62,7.62,0,CMV
2020-09-29,7.68,7.68,7.68,7.68,50,CMV
2020-09-30,7.68,7.68,7.68,7.68,0,CMV
2020-10-01,7.68,7.68,7.68,7.68,0,CMV
2020-10-02,7.68,7.68,7.68,7.68,0,CMV
2020-10-05,7.68,7.68,7.68,7.68,0,CMV
2020-10-06,7.68,7.68,7.68,7.68,0,CMV
2020-10-07,7.15,8.14,7.15,8.14,6060,CMV
2020-10-08,8.14,8.14,8.14,8.14,0,CMV
2020-10-09,8.14,8.14,8.14,8.14,0,CMV
2020-10-12,8.69,8.69,7.73,7.73,6160,CMV
2020-10-13,7.73,7.73,7.73,7.73,0,CMV
2020-10-14,7.73,7.73,7.73,7.73,0,CMV
2020-10-15,7.21,8.23,7.21,7.56,40,CMV
2020-10-16,7.04,7.04,7.04,7.04,10,CMV
2020-10-19,7.04,7.04,7.04,7.04,0,CMV
2020-10-20,7.04,7.04,7.04,7.04,0,CMV
2020-10-21,7.04,7.04,7.04,7.04,0,CMV
2020-10-22,7.5,7.5,7.5,7.5,10,CMV
2020-10-23,8.03,8.03,8.03,8.03,320,CMV
2020-10-26,7.47,7.47,7.47,7.47,10,CMV
2020-10-27,7.47,7.47,7.47,7.47,0,CMV
2020-10-28,7.47,7.47,7.47,7.47,0,CMV
2020-10-29,6.98,7.5,6.98,7.5,280,CMV
2020-10-30,6.98,6.98,6.98,6.98,10,CMV
2020-11-02,6.72,6.72,6.72,6.72,10,CMV
2020-11-03,7.18,7.18,7.18,7.18,10,CMV
2020-11-04,6.69,7.56,6.69,7.56,20,CMV
2020-11-05,7.04,7.04,7.04,7.04,10,CMV
2020-11-06,6.72,6.72,6.72,6.72,10,CMV
2020-11-09,7.18,7.18,7.18,7.18,30,CMV
2020-11-10,7.68,7.68,7.68,7.68,10,CMV
2020-11-11,8.2,8.2,8.2,8.2,20,CMV
2020-11-12,7.65,8.23,7.65,8.23,950,CMV
2020-11-13,7.68,7.68,7.68,7.68,10,CMV
2020-11-16,7.15,8.14,7.15,8.14,600,CMV
2020-11-17,7.59,8.17,7.59,8.17,20,CMV
2020-11-18,7.62,8.66,7.62,8.66,20,CMV
2020-11-19,8.2,8.2,8.2,8.2,510,CMV
2020-11-20,8.2,8.2,8.2,8.2,0,CMV
2020-11-23,7.65,8.75,7.65,8.75,20,CMV
2020-11-24,8.75,8.75,8.75,8.75,0,CMV
2020-11-25,8.75,8.75,8.75,8.75,0,CMV
2020-11-26,8.75,8.75,8.75,8.75,0,CMV
2020-11-27,8.75,8.75,8.75,8.75,0,CMV
2020-11-30,8.61,8.61,8.61,8.61,10,CMV
2020-12-01,8.61,8.61,8.61,8.61,0,CMV
2020-12-02,8.61,8.61,8.61,8.61,0,CMV
2020-12-03,8.61,8.61,8.61,8.61,0,CMV
2020-12-04,8.61,8.61,8.61,8.61,0,CMV
2020-12-07,8.61,8.61,8.61,8.61,1010,CMV
2020-12-08,8.61,8.61,8.61,8.61,0,CMV
2020-12-09,8.55,8.55,8.55,8.55,100,CMV
2020-12-10,8.55,8.55,8.55,8.55,0,CMV
2020-12-11,8.55,8.55,8.55,8.55,0,CMV
2020-12-14,7.97,9.07,7.97,9.07,1090,CMV
2020-12-15,9.07,9.07,9.07,9.07,10,CMV
2020-12-16,9.07,9.07,9.07,9.07,0,CMV
2020-12-17,8.72,8.72,8.72,8.72,830,CMV
2020-12-18,8.11,9.3,8.11,9.3,220,CMV
2020-12-21,9.3,9.3,9.3,9.3,60,CMV
2020-12-22,9.3,9.3,9.3,9.3,0,CMV
2020-12-23,9.3,9.3,9.3,9.3,0,CMV
2020-12-24,9.3,9.3,9.3,9.3,0,CMV
2020-12-25,8.84,8.84,8.84,8.84,10,CMV
2020-12-28,8.84,8.84,8.84,8.84,0,CMV
2020-12-29,8.84,8.84,8.84,8.84,0,CMV
2020-12-30,8.84,8.84,8.84,8.84,510,CMV
2020-12-31,8.23,8.23,8.23,8.23,10,CMV
2021-01-04,8.78,8.78,8.78,8.78,400,CMV
2021-01-05,8.78,8.78,8.78,8.78,500,CMV
2021-01-06,8.84,8.84,8.84,8.84,900,CMV
2021-01-07,8.84,8.84,8.84,8.84,0,CMV
2021-01-08,9.42,9.45,9.42,9.45,2200,CMV
2021-01-11,10.09,10.09,10.09,10.09,500,CMV
2021-01-12,10.09,10.09,10.09,10.09,100,CMV
2021-01-13,10.47,10.79,10.47,10.79,3200,CMV
2021-01-14,10.79,10.79,10.79,10.79,4600,CMV
2021-01-15,10.79,11.51,10.79,11.05,3200,CMV
2021-01-18,11.05,11.81,11.05,11.81,5200,CMV
2021-01-19,12.04,12.04,12.04,12.04,300,CMV
2021-01-20,12.1,12.1,12.1,12.1,4700,CMV
2021-01-21,12.92,12.92,12.92,12.92,1100,CMV
2021-01-22,12.92,12.92,12.92,12.92,0,CMV
2021-01-25,12.92,12.92,12.92,12.92,2000,CMV
2021-01-26,12.92,12.92,12.92,12.92,0,CMV
2021-01-27,12.92,12.92,12.92,12.92,0,CMV
2021-01-28,12.92,12.92,12.92,12.92,0,CMV
2021-01-29,12.92,12.92,12.92,12.92,0,CMV
2021-02-01,12.92,12.92,12.92,12.92,0,CMV
