time,open,high,low,close,volume,symbol
2025-04-01,4.4,4.5,4.4,4.5,3400,VC9
2025-04-02,4.4,4.4,4.4,4.4,2000,VC9
2025-04-03,4.3,4.3,4.1,4.3,24200,VC9
2025-04-04,4.3,4.3,4.0,4.3,2500,VC9
2025-04-08,4.0,4.2,3.9,3.9,18800,VC9
2025-04-09,3.7,4.0,3.7,4.0,6700,VC9
2025-04-10,4.0,4.3,4.0,4.2,42000,VC9
2025-04-11,4.3,4.3,4.1,4.2,4000,VC9
2025-04-14,4.2,4.2,4.1,4.1,2700,VC9
2025-04-15,4.1,4.2,4.1,4.2,2200,VC9
2025-04-16,3.9,4.1,3.9,4.1,23200,VC9
2025-04-17,4.3,4.4,4.3,4.4,1700,VC9
2025-04-18,4.2,4.2,4.0,4.0,36000,VC9
2025-04-21,4.0,4.2,4.0,4.2,1300,VC9
2025-04-22,4.1,4.1,4.0,4.1,5100,VC9
2025-04-23,4.1,4.2,4.1,4.2,11400,VC9
2025-04-01,6.4,6.5,6.3,6.4,1082300,MST
2025-04-02,6.4,6.7,6.3,6.7,5651200,MST
2025-04-03,6.5,6.5,6.1,6.4,4223900,MST
2025-04-04,6.1,6.3,5.9,6.1,3308000,MST
2025-04-08,6.0,6.1,5.5,5.5,3445000,MST
2025-04-09,5.2,5.4,5.0,5.0,1995100,MST
2025-04-10,4.5,5.5,4.5,5.5,1750800,MST
2025-04-11,5.7,5.8,5.4,5.8,3981600,MST
2025-04-14,5.8,5.9,5.6,5.9,3492100,MST
2025-04-15,5.9,5.9,5.6,5.8,2027300,MST
2025-04-16,5.7,5.8,5.6,5.7,920500,MST
2025-04-17,5.6,5.7,5.5,5.6,779400,MST
2025-04-18,5.6,6.0,5.5,6.0,3343000,MST
2025-04-21,5.8,6.0,5.7,5.9,4578900,MST
2025-04-22,5.9,5.9,5.4,5.7,2960400,MST
2025-04-23,5.7,5.9,5.6,5.8,3626000,MST
2025-04-01,9.8,10.0,9.8,10.0,6000,PDB
2025-04-03,9.8,9.8,9.1,9.5,5700,PDB
2025-04-04,9.5,9.5,9.4,9.4,4300,PDB
