time,open,high,low,close,volume,symbol
2025-04-01,6.75,6.8,6.75,6.8,1900,C47
2025-04-02,6.8,6.8,6.61,6.61,59800,C47
2025-04-03,6.78,6.78,6.2,6.5,21300,C47
2025-04-04,6.19,6.4,6.05,6.38,90600,C47
2025-04-08,6.2,6.38,5.94,5.94,102600,C47
2025-04-09,5.94,5.94,5.57,5.6,75500,C47
2025-04-10,5.99,5.99,5.99,5.99,3400,C47
2025-04-11,5.99,6.02,5.99,5.99,49700,C47
2025-04-14,5.99,6.08,5.99,6.0,5300,C47
2025-04-15,6.0,6.0,5.92,5.99,24100,C47
2025-04-16,5.99,6.0,5.91,5.94,32900,C47
2025-04-17,6.0,6.35,5.94,6.0,28400,C47
2025-04-18,6.0,6.2,6.0,6.1,21400,C47
2025-04-21,6.1,6.1,6.0,6.1,21900,C47
2025-04-22,6.0,6.15,5.96,6.0,74200,C47
2025-04-23,6.3,6.3,6.01,6.18,7000,C47
2025-04-01,10.15,10.35,10.15,10.2,301800,HTN
2025-04-02,10.2,10.4,10.2,10.3,305300,HTN
2025-04-03,10.05,10.05,9.58,9.58,752500,HTN
2025-04-04,8.91,9.14,8.91,8.91,1005100,HTN
2025-04-08,8.29,8.41,8.29,8.29,242100,HTN
2025-04-09,7.71,8.01,7.71,7.71,805300,HTN
2025-04-10,8.24,8.24,8.24,8.24,52000,HTN
2025-04-11,8.75,8.75,8.24,8.57,700000,HTN
2025-04-14,8.57,8.61,8.42,8.61,263300,HTN
2025-04-15,8.5,9.03,8.48,8.69,411800,HTN
2025-04-16,8.68,8.93,8.66,8.68,273900,HTN
2025-04-17,8.68,8.76,8.55,8.7,329200,HTN
2025-04-18,9.0,9.0,8.51,8.51,362300,HTN
2025-04-21,8.54,8.82,8.54,8.67,281400,HTN
2025-04-22,9.27,9.27,8.08,8.8,688800,HTN
2025-04-23,8.9,9.1,8.81,8.9,275200,HTN
2025-04-01,13.8,13.9,13.7,13.85,3380000,CII
2025-04-02,13.8,13.95,13.8,13.9,4184300,CII
2025-04-03,13.3,13.45,12.95,12.95,11623400,CII
2025-04-04,12.05,12.4,12.05,12.05,16608100,CII
2025-04-08,11.7,11.9,11.25,11.25,10153900,CII
2025-04-09,10.5,11.1,10.5,10.5,32829700,CII
2025-04-10,11.2,11.2,11.2,11.2,771900,CII
2025-04-11,11.45,11.9,11.2,11.8,16972800,CII
2025-04-14,11.95,12.2,11.75,12.15,15151000,CII
2025-04-15,12.05,12.3,11.75,12.05,8751100,CII
2025-04-16,12.1,12.15,11.75,11.85,5344800,CII
2025-04-17,11.75,11.95,11.7,11.85,4675300,CII
2025-04-18,12.0,12.2,11.95,11.95,6911200,CII
2025-04-21,12.0,12.1,11.85,11.9,5087300,CII
2025-04-22,11.75,12.0,11.1,11.55,15484100,CII
2025-04-23,11.8,12.0,11.65,11.85,4243600,CII
2025-04-01,85.6,86.0,84.5,85.5,487200,CTD
2025-04-02,85.8,86.8,85.4,85.8,706000,CTD
2025-04-03,79.8,82.3,79.8,79.8,1642300,CTD
2025-04-04,74.3,76.3,74.3,74.3,4033800,CTD
2025-04-08,73.0,74.0,69.1,69.1,1000000,CTD
2025-04-09,64.3,69.2,64.3,64.3,2401600,CTD
2025-04-10,68.8,68.8,68.8,68.8,222500,CTD
2025-04-11,72.5,73.6,68.5,73.5,3184600,CTD
2025-04-14,74.5,74.5,72.8,74.2,1534300,CTD
2025-04-15,73.8,77.6,72.5,77.6,2293400,CTD
2025-04-16,77.6,77.9,76.4,76.6,1476000,CTD
2025-04-17,75.7,78.2,75.7,77.8,911700,CTD
2025-04-18,78.2,78.7,76.4,76.4,986500,CTD
2025-04-21,76.5,78.0,76.1,77.8,1353300,CTD
2025-04-22,77.5,78.8,72.4,77.2,2675300,CTD
2025-04-23,77.8,79.8,77.7,79.4,994500,CTD
2025-04-01,21.65,21.65,21.35,21.45,601300,CTI
2025-04-02,21.7,22.3,21.7,21.95,1934200,CTI
2025-04-03,21.3,21.3,20.45,20.45,2249600,CTI
2025-04-04,19.05,20.2,19.05,19.8,2003300,CTI
2025-04-08,18.45,19.3,18.45,18.45,1587400,CTI
2025-04-09,17.2,17.95,17.2,17.2,1335200,CTI
2025-04-10,18.4,18.4,18.4,18.4,103100,CTI
2025-04-11,18.5,18.8,17.6,18.6,2195500,CTI
2025-04-14,18.75,19.3,18.6,19.2,1186300,CTI
2025-04-15,18.95,19.9,18.55,19.2,1752300,CTI
2025-04-16,19.25,19.45,18.6,18.8,776800,CTI
2025-04-17,18.4,19.2,18.4,19.15,576200,CTI
2025-04-18,19.2,19.4,19.0,19.0,903900,CTI
2025-04-21,19.05,19.1,18.7,18.8,442300,CTI
2025-04-22,18.5,18.95,17.5,18.4,1552500,CTI
2025-04-23,18.75,19.65,18.55,19.65,1702200,CTI
2025-04-01,102.0,102.0,98.5,98.8,595000,CTR
2025-04-02,98.0,99.8,97.0,98.6,404800,CTR
2025-04-03,92.0,96.0,91.7,91.7,755600,CTR
2025-04-04,85.3,85.3,85.3,85.3,394200,CTR
2025-04-08,79.4,80.0,79.4,79.4,443200,CTR
2025-04-09,73.9,77.0,73.9,73.9,2002900,CTR
2025-04-10,79.0,79.0,79.0,79.0,114200,CTR
2025-04-11,84.5,84.5,82.1,84.5,1575200,CTR
2025-04-14,88.6,89.0,86.0,87.0,803200,CTR
2025-04-15,86.8,86.9,83.5,83.8,608800,CTR
2025-04-16,81.5,85.5,81.5,83.0,471000,CTR
2025-04-17,82.5,83.9,81.5,82.9,303700,CTR
2025-04-18,83.9,86.9,83.5,85.9,511300,CTR
2025-04-21,85.1,85.7,82.4,82.6,547600,CTR
2025-04-22,82.0,82.0,76.9,78.1,1386800,CTR
2025-04-23,78.2,83.5,78.2,83.5,1116500,CTR
2025-04-01,51.5,52.4,51.0,52.0,566900,DPG
2025-04-02,52.1,53.4,52.1,53.2,672500,DPG
2025-04-03,50.0,52.0,49.5,49.5,1554800,DPG
2025-04-04,46.05,48.75,46.05,48.75,1434300,DPG
2025-04-08,46.0,47.85,45.35,45.35,701900,DPG
2025-04-09,42.2,44.6,42.2,42.2,1470400,DPG
2025-04-10,45.15,45.15,45.15,45.15,15200,DPG
2025-04-11,48.0,48.0,45.15,47.3,1164500,DPG
2025-04-14,47.4,48.9,47.25,48.5,561500,DPG
2025-04-15,48.3,48.5,47.05,47.8,467900,DPG
2025-04-16,47.75,49.6,47.75,48.45,765700,DPG
2025-04-17,48.3,49.05,48.25,49.0,317800,DPG
2025-04-18,49.3,51.0,48.95,50.0,1032600,DPG
2025-04-21,50.0,51.8,50.0,51.0,761800,DPG
2025-04-22,50.1,50.9,47.45,49.6,1314400,DPG
2025-04-23,50.0,51.4,49.5,50.6,623700,DPG
2025-04-01,6.8,6.8,6.48,6.48,1896700,EVG
2025-04-02,6.6,6.6,6.45,6.48,730700,EVG
2025-04-03,6.12,6.3,6.03,6.03,2516700,EVG
2025-04-04,5.61,5.68,5.61,5.61,3507600,EVG
2025-04-08,5.3,5.5,5.22,5.22,864800,EVG
2025-04-09,4.86,5.05,4.86,4.86,2426600,EVG
2025-04-10,5.2,5.2,5.2,5.2,82500,EVG
2025-04-11,5.56,5.56,5.27,5.4,2760600,EVG
2025-04-14,5.5,5.52,5.41,5.47,830100,EVG
2025-04-15,5.45,5.59,5.39,5.46,466400,EVG
2025-04-16,5.47,5.57,5.45,5.46,481900,EVG
2025-04-17,5.44,5.66,5.39,5.66,506900,EVG
2025-04-18,5.72,6.05,5.67,6.0,2339100,EVG
2025-04-21,6.02,6.11,5.9,5.92,630100,EVG
2025-04-22,5.9,5.98,5.51,5.68,1518400,EVG
2025-04-23,5.75,5.98,5.72,5.92,717600,EVG
2025-04-01,13.95,14.1,13.7,14.0,1129600,FCN
2025-04-02,14.05,14.35,13.95,14.1,531800,FCN
2025-04-03,13.5,13.8,13.15,13.15,2462500,FCN
2025-04-04,12.45,13.0,12.25,12.7,1446800,FCN
2025-04-08,12.7,12.7,11.85,11.85,1508800,FCN
2025-04-09,11.05,11.9,11.05,11.15,1456900,FCN
2025-04-10,11.9,11.9,11.9,11.9,61900,FCN
2025-04-11,12.5,12.6,12.05,12.45,1529200,FCN
2025-04-14,12.6,13.1,12.5,13.1,1265300,FCN
2025-04-15,13.4,13.75,13.1,13.35,1790000,FCN
2025-04-16,13.35,13.65,13.3,13.55,1262300,FCN
2025-04-17,13.4,14.05,13.35,14.0,1319400,FCN
2025-04-18,14.15,14.45,14.0,14.15,1651000,FCN
2025-04-21,14.05,14.05,13.75,13.95,789400,FCN
2025-04-22,13.9,14.3,13.0,14.3,1459300,FCN
2025-04-23,14.4,14.4,13.75,14.25,1610200,FCN
2025-04-01,17.9,18.15,17.9,18.1,10200,HUB
2025-04-02,18.0,18.1,17.9,17.9,22900,HUB
2025-04-03,17.55,17.6,16.65,16.8,110100,HUB
2025-04-04,16.6,16.6,16.2,16.6,44700,HUB
2025-04-08,16.05,16.5,15.5,15.55,140900,HUB
2025-04-09,15.6,15.95,15.4,15.5,38800,HUB
2025-04-10,16.55,16.55,16.35,16.55,51800,HUB
2025-04-11,16.7,16.9,16.65,16.8,60700,HUB
2025-04-14,17.0,17.2,16.95,17.05,56100,HUB
2025-04-15,16.9,17.0,16.7,16.85,28500,HUB
2025-04-16,16.85,16.9,16.8,16.8,41600,HUB
2025-04-17,16.7,17.6,16.7,17.25,12100,HUB
2025-04-18,16.9,17.1,16.8,17.1,6600,HUB
2025-04-21,16.7,16.8,16.4,16.8,58900,HUB
2025-04-22,16.5,16.65,16.25,16.65,25300,HUB
2025-04-23,16.65,16.75,16.65,16.75,7500,HUB
2025-04-01,6.7,6.9,6.5,6.8,1811100,HBC
2025-04-02,6.9,7.1,6.8,7.0,2092000,HBC
2025-04-03,7.0,7.0,6.0,6.1,5121400,HBC
2025-04-04,6.1,6.3,5.7,6.3,2782800,HBC
2025-04-08,6.3,6.3,5.2,5.3,3194700,HBC
2025-04-09,5.3,5.6,5.0,5.2,1970300,HBC
2025-04-10,5.8,6.0,5.6,6.0,649700,HBC
2025-04-11,6.0,6.4,5.9,6.2,2884100,HBC
2025-04-14,6.2,6.3,6.0,6.1,674900,HBC
2025-04-15,6.1,6.1,5.9,5.9,1346700,HBC
2025-04-16,6.0,6.0,5.8,5.9,518100,HBC
2025-04-17,5.9,6.0,5.8,6.0,473400,HBC
2025-04-18,5.9,6.1,5.9,5.9,626500,HBC
2025-04-21,5.9,6.1,5.9,6.1,809800,HBC
2025-04-22,6.0,6.0,5.4,5.9,1862900,HBC
2025-04-23,5.9,6.0,5.8,5.9,485000,HBC
2025-04-01,12.3,12.35,12.15,12.25,1666100,HHV
2025-04-02,12.3,12.5,12.25,12.25,3806200,HHV
2025-04-03,11.7,11.95,11.4,11.4,11935900,HHV
2025-04-04,10.65,11.5,10.65,11.2,12230200,HHV
2025-04-08,10.7,11.1,10.45,10.45,9479400,HHV
2025-04-09,9.72,10.7,9.72,10.0,10225300,HHV
2025-04-10,10.7,10.7,10.7,10.7,511400,HHV
2025-04-11,11.3,11.4,10.95,11.4,12379000,HHV
2025-04-14,11.6,11.8,11.5,11.65,7659300,HHV
2025-04-15,11.6,12.15,11.4,11.8,12952900,HHV
2025-04-16,11.9,11.95,11.75,11.85,5318700,HHV
2025-04-17,11.8,11.9,11.65,11.85,3434900,HHV
2025-04-18,11.9,12.05,11.8,11.85,7581300,HHV
2025-04-21,11.85,12.05,11.7,11.9,6119000,HHV
2025-04-22,11.8,11.9,11.1,11.7,13634700,HHV
2025-04-23,12.1,12.25,11.85,12.1,7988300,HHV
2025-04-01,10.25,10.35,10.2,10.25,771600,LCG
2025-04-02,10.3,10.35,10.25,10.25,928700,LCG
2025-04-03,10.0,10.1,9.54,9.54,3966400,LCG
2025-04-04,8.88,9.45,8.88,9.23,3296200,LCG
2025-04-08,9.03,9.2,8.59,8.59,2863800,LCG
2025-04-09,7.99,8.56,7.99,7.99,4899800,LCG
2025-04-10,8.54,8.54,8.54,8.54,177600,LCG
2025-04-11,8.9,9.13,8.65,9.13,4647700,LCG
2025-04-14,9.35,9.35,9.13,9.22,2090100,LCG
2025-04-15,9.2,9.46,9.07,9.3,3200600,LCG
2025-04-16,9.3,9.4,9.16,9.16,983200,LCG
2025-04-17,9.16,9.22,9.1,9.18,858300,LCG
2025-04-18,9.27,9.29,9.15,9.19,1388200,LCG
2025-04-21,9.25,9.3,9.19,9.2,1484200,LCG
2025-04-22,9.12,9.2,8.56,9.0,3034900,LCG
2025-04-23,9.16,9.19,9.05,9.19,1348000,LCG
2025-04-01,21.8,21.95,21.65,21.8,5036600,VCG
2025-04-02,21.95,22.3,21.6,21.65,8104800,VCG
2025-04-03,20.6,21.4,20.15,20.15,20166600,VCG
2025-04-04,19.3,21.15,19.3,20.7,17274800,VCG
2025-04-08,20.2,20.35,19.3,19.3,11827000,VCG
2025-04-09,18.05,19.65,18.05,18.2,12985900,VCG
2025-04-10,19.45,19.45,19.45,19.45,216600,VCG
2025-04-11,20.0,20.8,19.7,20.8,16900800,VCG
2025-04-14,21.15,21.7,20.9,21.7,12087500,VCG
2025-04-15,21.5,22.8,21.05,22.3,27635800,VCG
