time,open,high,low,close,volume,symbol
2025-04-01,6.4,6.6,6.4,6.6,116500,G36
2025-04-02,6.6,6.6,6.5,6.6,78900,G36
2025-04-03,6.6,6.6,5.7,5.9,786700,G36
2025-04-04,5.7,6.2,5.4,6.1,276600,G36
2025-04-08,5.8,5.9,5.1,5.3,322700,G36
2025-04-09,5.3,5.3,4.6,4.9,706400,G36
2025-04-10,5.0,5.6,5.0,5.6,101200,G36
2025-04-11,5.8,6.1,5.5,5.8,307400,G36
2025-04-14,5.9,5.9,5.7,5.7,81200,G36
2025-04-15,5.7,5.9,5.7,5.8,113100,G36
2025-04-16,5.8,5.9,5.8,5.9,130800,G36
2025-04-17,5.7,6.0,5.6,5.9,110100,G36
2025-04-18,5.9,5.9,5.8,5.9,183900,G36
2025-04-21,5.9,5.9,5.8,5.8,36200,G36
2025-04-22,5.7,5.8,5.3,5.6,191800,G36
2025-04-23,5.7,5.7,5.5,5.6,189900,G36
2025-04-01,8.3,8.4,8.2,8.3,265000,C4G
2025-04-02,8.0,8.4,8.0,8.2,767800,C4G
2025-04-03,8.2,8.2,7.0,7.1,3929800,C4G
2025-04-04,7.0,7.3,6.4,7.0,2085200,C4G
2025-04-08,6.8,6.9,5.9,6.0,2004800,C4G
2025-04-09,6.0,6.3,5.6,6.0,1552400,C4G
2025-04-10,6.7,6.7,6.7,6.7,204100,C4G
2025-04-11,7.7,7.7,6.9,7.3,1821100,C4G
2025-04-14,7.3,7.4,7.1,7.3,751300,C4G
2025-04-15,7.3,7.4,7.0,7.1,832600,C4G
2025-04-16,7.1,7.3,7.1,7.1,521000,C4G
2025-04-17,7.1,7.3,7.1,7.2,449000,C4G
2025-04-18,7.2,7.4,7.2,7.3,724800,C4G
2025-04-21,7.3,7.4,7.2,7.3,265700,C4G
2025-04-22,7.2,7.3,6.6,7.1,1216200,C4G
2025-04-23,7.2,7.3,7.1,7.2,437800,C4G
