time,open,high,low,close,volume
2025-04-01,235.01,236.5,233.2,236.42,46119800
2025-04-02,236.43,238.57,236.05,238.13,48978400
2025-04-03,237.59,237.59,219.13,220.95,144852700
2025-04-04,220.74,220.95,206.09,216.97,128469600
2025-04-08,216.97,216.97,200.4,201.04,83577700
2025-04-09,200.97,200.97,190.83,192.58,119162200
2025-04-10,192.45,208.46,191.98,208.32,50890400
2025-04-11,208.72,215.83,207.24,213.34,133585800
2025-04-14,212.5,215.87,212.43,215.0,87205800
2025-04-15,214.97,214.97,210.06,210.24,70731500
2025-04-16,209.36,211.46,208.48,209.41,53039900
2025-04-17,209.37,209.94,207.6,209.58,54320600
2025-04-18,209.58,214.79,208.53,213.1,91859400
2025-04-21,211.62,213.96,210.7,211.47,62362200
2025-04-22,211.05,211.3,199.79,207.71,119543200
2025-04-23,206.55,211.65,205.5,211.45,59646200
