time,open,high,low,close,volume,symbol
2023-01-03,28.51,30.01,28.51,30.01,736880,DGW
2023-01-04,30.39,30.61,29.94,30.09,515960,DGW
2023-01-05,30.61,30.61,29.6,29.67,389474,DGW
2023-01-06,29.71,29.86,28.51,28.81,695589,DGW
2023-01-09,29.26,29.3,28.51,28.96,401677,DGW
2023-01-10,29.26,29.9,28.4,29.82,596470,DGW
2023-01-11,29.64,30.24,29.64,29.71,472344,DGW
2023-01-12,29.79,29.97,29.26,29.71,450357,DGW
2023-01-13,29.71,30.01,29.34,29.71,508798,DGW
2023-01-16,30.05,30.24,29.11,29.11,494901,DGW
2023-01-17,29.41,29.94,29.19,29.86,601954,DGW
2023-01-18,30.01,31.93,29.9,31.93,1376083,DGW
2023-01-19,32.19,32.41,31.51,32.41,998549,DGW
2023-01-27,32.86,33.46,32.56,32.71,1012008,DGW
2023-01-30,32.68,32.68,31.7,32.11,1090011,DGW
2023-01-31,32.15,33.01,31.36,33.01,871938,DGW
2023-02-01,33.69,33.69,30.8,30.99,1238138,DGW
2023-02-02,31.51,31.51,30.09,30.39,603725,DGW
2023-02-03,30.69,31.14,30.39,30.99,438570,DGW
2023-02-06,30.91,30.99,30.35,30.8,436068,DGW
2023-02-07,30.8,32.23,30.61,30.76,1100833,DGW
2023-02-08,31.36,31.55,30.76,31.29,681665,DGW
2023-02-09,31.44,32.19,30.61,30.65,562347,DGW
2023-02-10,30.76,30.76,29.26,29.79,743097,DGW
2023-02-13,29.79,29.97,28.29,29.26,951168,DGW
2023-02-14,29.56,29.71,29.04,29.41,428373,DGW
2023-02-15,29.64,29.94,29.26,29.82,553717,DGW
2023-02-16,30.16,30.76,29.86,30.5,545991,DGW
2023-02-17,30.01,30.76,29.64,29.94,476278,DGW
2023-02-20,30.24,30.69,29.82,30.61,733331,DGW
2023-02-21,31.36,31.78,30.99,31.36,1502203,DGW
2023-02-22,31.14,32.41,30.73,31.14,1235420,DGW
2023-02-23,31.06,31.51,29.56,30.69,1053184,DGW
2023-02-24,30.76,30.76,29.67,29.9,510208,DGW
2023-02-27,28.96,29.49,28.14,28.14,1035449,DGW
2023-02-28,28.21,28.74,27.16,27.39,1070767,DGW
2023-03-01,27.76,28.51,26.64,28.32,582525,DGW
2023-03-02,28.36,28.77,27.42,27.91,442682,DGW
2023-03-03,27.91,28.25,27.57,27.61,703301,DGW
2023-03-06,28.21,28.29,27.01,27.01,672469,DGW
2023-03-07,27.39,27.57,25.89,26.34,1013573,DGW
2023-03-08,26.26,26.45,25.92,26.15,1724805,DGW
2023-03-09,26.6,27.95,26.26,27.95,1481406,DGW
2023-03-10,27.76,27.99,27.42,27.76,953981,DGW
2023-03-13,27.39,27.76,27.05,27.09,790164,DGW
2023-03-14,27.01,27.35,25.89,26.0,1266293,DGW
2023-03-15,26.71,27.12,26.26,26.71,1071161,DGW
2023-03-16,26.56,26.71,26.04,26.04,612964,DGW
2023-03-17,26.41,26.64,26.04,26.22,527564,DGW
2023-03-20,26.22,26.41,25.51,25.51,833812,DGW
2023-03-21,25.89,25.89,24.42,25.51,1276390,DGW
2023-03-22,25.85,25.85,24.54,24.54,1674942,DGW
2023-03-23,24.2,25.25,24.12,24.99,798463,DGW
2023-03-24,25.1,25.25,24.61,24.84,837381,DGW
2023-03-27,24.91,25.1,24.39,24.54,1032247,DGW
2023-03-28,24.72,24.95,24.24,24.39,1762943,DGW
2023-03-29,24.46,24.46,23.45,23.6,2460669,DGW
2023-03-30,23.48,23.93,21.95,21.95,5299402,DGW
2023-03-31,21.95,22.51,20.63,21.53,2429520,DGW
2023-04-03,21.91,22.88,21.83,22.43,1910373,DGW
2023-04-04,22.66,23.93,22.32,23.93,3678493,DGW
2023-04-05,24.01,24.65,23.75,24.54,2715081,DGW
2023-04-06,24.57,24.76,23.6,23.71,2198947,DGW
2023-04-07,23.63,23.86,23.15,23.48,1452941,DGW
