time,open,high,low,close,volume
2025-04-01,98.05,98.49,97.91,98.49,30857200
2025-04-02,98.47,98.96,98.4,98.66,36423100
2025-04-03,98.5,98.5,89.59,90.58,131296000
2025-04-04,90.58,91.1,87.07,91.1,91896300
2025-04-08,91.13,91.14,84.11,84.5,80975400
2025-04-09,84.42,85.35,82.73,84.41,65736200
2025-04-10,84.72,92.93,84.72,92.8,37656600
2025-04-11,92.84,94.43,91.68,93.23,90731600
2025-04-14,93.25,93.34,91.31,91.76,37236400
2025-04-15,91.76,92.38,90.52,91.03,41321300
2025-04-16,91.04,91.42,90.19,90.39,30909800
2025-04-17,90.39,90.57,89.93,90.53,25786600
2025-04-18,90.53,91.76,90.3,91.29,47818500
2025-04-21,91.32,91.81,90.73,90.89,28744300
2025-04-22,90.91,91.15,87.16,89.64,65715600
2025-04-23,89.71,91.47,89.71,91.46,36307900
