time,open,high,low,close,volume
2014-01-02,505.61,506.71,503.04,504.51,57717674
2014-01-03,504.41,506.19,503.94,505.37,55600438
2014-01-06,505.74,509.1,504.28,509.1,68738380
2014-01-07,511.02,513.0,509.87,510.12,74363638
2014-01-08,511.03,514.2,509.01,513.9,70296940
2014-01-09,513.92,516.98,513.52,516.98,91486106
2014-01-10,518.41,523.06,518.24,518.94,107179750
2014-01-13,519.31,522.32,518.78,521.11,71994499
2014-01-14,520.73,524.59,520.63,522.31,94864592
2014-01-15,523.82,527.09,522.45,526.68,127581605
2014-01-16,528.83,533.54,527.9,533.54,97752875
2014-01-17,537.48,549.88,536.81,543.59,118065054
2014-01-20,548.22,559.93,548.22,553.67,105722499
2014-01-21,555.72,560.18,547.65,559.91,100920439
2014-01-22,561.34,564.61,551.92,551.92,125281534
2014-01-23,550.88,556.5,550.52,553.55,73716290
2014-01-24,555.66,560.19,553.46,560.19,88005982
2014-01-27,560.45,560.45,556.52,556.52,67551730
2014-02-06,554.8,557.29,551.45,554.68,89235280
2014-02-07,557.71,558.51,549.37,549.76,124966662
2014-02-10,550.42,555.9,548.56,555.9,110186930
2014-02-11,560.35,561.83,553.9,553.9,175048180
2014-02-12,555.91,564.25,554.26,564.25,124702840
2014-02-13,567.77,570.68,565.27,570.18,147121230
2014-02-14,573.09,576.18,569.38,572.22,141409934
2014-02-17,571.27,572.85,567.89,570.2,163684700
2014-02-18,570.65,574.56,570.16,574.56,160281020
2014-02-19,578.73,578.8,573.86,578.12,159097280
2014-02-20,579.71,584.1,565.31,571.04,259679130
2014-02-21,571.03,574.61,565.33,570.57,124763395
2014-02-24,571.93,576.58,570.07,576.58,118528370
2014-02-25,575.49,586.2,575.49,586.2,143514510
2014-02-26,590.64,590.79,582.96,589.81,157200690
2014-02-27,588.47,596.4,584.79,584.79,225207222
2014-02-28,586.12,591.36,581.63,586.48,119408907
2014-03-03,586.46,587.11,573.37,573.38,143297444
2014-03-04,563.9,572.28,563.9,569.97,125571957
2014-03-05,576.11,577.5,569.97,574.94,105933313
2014-03-06,576.07,580.04,574.58,578.56,141304493
2014-03-07,579.4,582.24,579.1,579.75,157003150
2014-03-10,580.84,584.81,579.98,583.69,145025550
2014-03-11,585.1,589.45,582.2,588.5,162492886
2014-03-12,590.94,596.38,590.02,590.02,177883620
2014-03-13,591.11,595.22,590.36,595.22,133778877
2014-03-14,596.2,600.68,594.51,596.83,163989570
2014-03-17,603.05,603.24,598.7,600.36,170181160
2014-03-18,602.01,603.21,597.78,599.85,204001807
2014-03-19,600.73,605.91,600.42,605.59,192008350
2014-03-20,607.39,608.29,600.03,600.26,191516978
2014-03-21,600.48,607.22,600.26,601.75,229955020
2014-03-24,606.71,609.2,604.18,607.55,194824295
2014-03-25,607.12,609.01,604.38,601.85,261146500
2014-03-26,603.59,603.68,587.52,588.06,259085050
2014-03-27,588.33,591.7,582.81,590.14,151135930
2014-03-28,592.68,595.7,590.59,594.29,122367440
2014-03-31,594.29,597.22,591.57,591.57,119514830
2014-04-01,590.93,593.03,582.3,583.85,173005169
2014-04-02,584.99,586.5,574.4,581.67,146779523
2014-04-03,584.68,590.91,582.83,589.44,105522983
2014-04-04,589.9,593.46,588.34,593.04,119718455
2014-04-07,595.72,602.55,595.35,600.57,115651254
2014-04-08,601.39,603.25,598.52,603.25,127466174
2014-04-10,605.4,608.89,600.43,601.33,114247627
2014-04-11,598.36,602.01,594.96,600.57,106926180
2014-04-14,602.51,602.7,596.05,596.11,128080220
2014-04-15,595.81,597.99,586.09,586.09,131668530
2014-04-16,583.64,585.51,567.61,574.29,149242265
2014-04-17,580.26,583.51,575.83,580.31,117693160
2014-04-18,580.89,580.89,565.33,565.33,116972898
2014-04-21,564.29,568.44,558.14,558.14,95569640
2014-04-22,560.63,569.87,556.47,569.87,99105330
2014-04-23,569.83,573.39,567.04,569.36,71202652
2014-04-24,568.41,571.57,566.94,570.46,53799229
2014-04-25,571.78,580.74,571.71,578.92,64320453
2014-04-28,579.29,580.7,573.1,573.1,56053730
2014-04-29,571.54,578.21,570.64,578.0,50435143
2014-05-05,578.45,580.11,564.47,564.85,76075700
2014-05-06,561.55,562.36,545.97,555.11,100641650
2014-05-07,558.04,561.56,553.21,559.97,52416806
2014-05-08,550.75,550.75,525.37,527.09,146492388
