time,open,high,low,close,volume
2025-04-01,1313.03,1317.46,1308.06,1317.33,608874387
2025-04-02,1321.81,1324.46,1317.68,1317.83,847480434
2025-04-03,1272.87,1277.9,1229.41,1229.84,1754215700
2025-04-04,1205.64,1210.67,1158.17,1210.67,1977592840
2025-04-08,1210.67,1210.67,1130.98,1132.79,1142648348
2025-04-09,1112.27,1141.35,1073.61,1094.3,1593990576
2025-04-10,1094.3,1168.4,1094.3,1168.34,367335058
2025-04-11,1185.86,1222.46,1180.59,1222.46,1720215979
2025-04-14,1235.01,1242.94,1226.06,1241.44,1037578710
2025-04-15,1241.44,1246.21,1221.75,1227.79,1064439792
2025-04-16,1227.79,1233.84,1205.93,1210.3,816347824
2025-04-17,1210.3,1217.25,1197.5,1217.25,756538553
2025-04-18,1228.37,1234.67,1219.12,1219.12,1064573281
2025-04-21,1219.38,1222.77,1201.63,1207.07,880575750
2025-04-22,1207.07,1207.07,1136.98,1197.13,1699625685
2025-04-23,1207.1,1216.28,1202.27,1211.0,851439079
