,time,open,high,low,close,volume,symbol
0,2022-01-04,22.33,22.38,22.0,22.19,2311300,VIB
1,2022-01-05,22.19,22.75,21.82,22.1,1966300,VIB
2,2022-01-06,21.79,22.54,21.56,21.75,4190200,VIB
3,2022-01-07,21.63,21.89,21.49,21.51,2216300,VIB
4,2022-01-10,21.37,21.56,20.72,21.19,3785400,VIB
5,2022-01-11,21.19,21.42,20.63,20.82,1697800,VIB
6,2022-01-12,20.82,22.03,19.88,21.86,2888100,VIB
7,2022-01-13,22.07,22.59,21.65,21.7,4106800,VIB
8,2022-01-14,21.28,21.65,20.96,21.37,1318700,VIB
9,2022-01-17,21.37,21.75,20.26,20.49,3082400,VIB
10,2022-01-18,20.26,20.91,19.6,20.21,3248400,VIB
11,2022-01-19,20.12,20.77,20.12,20.3,1232900,VIB
12,2022-01-20,20.3,20.72,19.6,20.49,2766500,VIB
13,2022-01-21,20.26,21.42,20.23,21.0,2323300,VIB
14,2022-01-24,20.91,21.4,20.49,20.54,1532600,VIB
15,2022-01-25,20.54,21.33,20.49,21.33,1454600,VIB
16,2022-01-26,21.42,22.35,21.33,21.93,4286000,VIB
17,2022-01-27,21.96,22.35,21.56,21.79,1798500,VIB
18,2022-01-28,22.03,22.77,21.75,22.14,3606500,VIB
19,2022-02-07,22.31,22.59,22.05,22.05,1529200,VIB
20,2022-02-08,21.7,22.35,21.7,22.35,2461300,VIB
21,2022-02-09,22.56,22.82,22.21,22.31,2899700,VIB
22,2022-02-10,22.17,22.4,21.98,22.17,1854100,VIB
23,2022-02-11,22.03,22.49,22.0,22.21,1582500,VIB
24,2022-02-14,21.79,22.1,21.37,21.37,3436300,VIB
25,2022-02-15,21.42,21.75,20.96,21.51,2588200,VIB
26,2022-02-16,21.51,21.51,21.14,21.23,2393300,VIB
27,2022-02-17,21.42,21.79,21.23,21.79,1576800,VIB
28,2022-02-18,21.7,22.07,21.61,21.82,1499000,VIB
29,2022-02-21,21.51,21.82,21.49,21.7,1898300,VIB
30,2022-02-22,21.42,21.79,21.28,21.65,1809200,VIB
31,2022-02-23,21.89,22.28,21.75,21.84,1991300,VIB
32,2022-02-24,21.72,21.98,20.96,21.82,3087200,VIB
33,2022-02-25,21.93,22.19,21.89,22.07,2371600,VIB
34,2022-02-28,22.12,22.17,21.84,21.84,1375700,VIB
35,2022-03-01,21.79,21.89,21.51,21.89,1554800,VIB
36,2022-03-02,21.7,21.7,20.54,21.33,4369400,VIB
37,2022-03-03,21.16,21.42,20.68,21.42,2259100,VIB
38,2022-03-04,21.37,21.56,21.14,21.33,963100,VIB
39,2022-03-07,21.19,21.19,20.91,20.91,1310200,VIB
40,2022-03-08,20.86,21.14,20.65,20.77,2093200,VIB
41,2022-03-09,20.72,20.86,19.98,20.72,2100000,VIB
42,2022-03-10,21.1,21.1,20.68,20.68,900700,VIB
43,2022-03-11,20.26,20.72,20.26,20.35,1353800,VIB
44,2022-03-14,20.26,20.3,20.02,20.02,1675300,VIB
45,2022-03-15,20.12,20.4,19.95,20.14,1056100,VIB
46,2022-03-16,20.56,20.72,20.4,20.51,1020100,VIB
47,2022-03-17,20.77,20.91,20.58,20.58,560400,VIB
48,2022-03-18,20.61,20.68,20.49,20.63,621300,VIB
49,2022-03-21,20.77,20.86,20.68,20.86,1304200,VIB
50,2022-03-22,20.98,21.19,20.91,21.0,859100,VIB
51,2022-03-23,21.05,21.28,20.86,20.96,666500,VIB
52,2022-03-24,20.96,20.96,20.68,20.82,1065800,VIB
53,2022-03-25,20.82,20.89,20.72,20.72,761900,VIB
54,2022-03-28,20.63,20.72,20.28,20.47,906700,VIB
55,2022-03-29,20.47,21.03,20.47,20.91,1060000,VIB
56,2022-03-30,20.86,21.89,20.86,21.89,3653000,VIB
57,2022-03-31,21.79,21.93,21.65,21.91,1278200,VIB
58,2022-04-01,21.89,22.56,21.77,22.31,2657300,VIB
59,2022-04-04,22.72,22.72,22.17,22.26,1724400,VIB
60,2022-04-05,22.19,22.26,21.82,21.82,1416000,VIB
61,2022-04-06,21.79,22.54,21.61,22.07,1998700,VIB
62,2022-04-07,22.12,22.45,21.75,21.75,1509900,VIB
63,2022-04-08,21.89,21.89,20.96,20.96,1430500,VIB
64,2022-04-12,21.19,21.23,20.58,20.58,991400,VIB
65,2022-04-13,20.63,21.07,20.21,20.96,885500,VIB
66,2022-04-14,20.96,21.1,20.79,20.84,551500,VIB
67,2022-04-15,20.72,20.84,20.37,20.4,1150900,VIB
68,2022-04-18,20.26,20.37,19.65,20.12,1632900,VIB
69,2022-04-19,20.12,20.26,19.51,19.79,947100,VIB
70,2022-04-20,19.79,19.95,19.26,19.26,659100,VIB
71,2022-04-21,19.33,19.56,17.98,19.56,1573400,VIB
72,2022-04-22,19.56,20.09,18.63,19.79,1051800,VIB
73,2022-04-25,19.79,19.79,18.42,18.6,1173700,VIB
74,2022-04-26,18.39,19.14,17.35,19.14,1082600,VIB
75,2022-04-27,19.09,19.47,18.63,19.47,676300,VIB
76,2022-04-28,19.16,19.58,19.14,19.28,494800,VIB
77,2022-04-29,19.33,20.14,19.21,20.02,1467600,VIB
78,2022-05-04,20.26,20.26,18.81,18.81,621500,VIB
79,2022-05-05,19.33,19.56,18.91,19.47,702200,VIB
