Ticker,Formation_Year,P/E,ROE,Revenue_Growth,Debt_to_Equity,Price_t,Price_t+1y,Return_1y
AAA,2023,14.2654252776,0.000532785606,-0.0021332674928410456,0.942269647,9.07,8.37,-0.07717750826901885
ACB,2023,6.7781377348,0.002479969029,0.0005120208993676164,9.1301508551,16.77,21.56,0.2856290995825879
BCM,2023,26.0547251036,0.001372144556,0.04782869154676779,1.7435013269,61.96,70.9,0.1442866365397031
BID,2023,14.1550542785,0.001894828352,0.0010304607015712123,17.7265157173,35.87,37.55,0.0468357959297463
BMP,2023,9.4599528615,0.003920154419,0.000365671567909463,0.2101594436,90.64,125.52,0.38481906443071484
BSI,2023,31.1189284636,0.000902150174,0.0008841898905826722,0.7774639433,39.26,44.18,0.12531839021905253
BVH,2023,17.42618786,0.000855405564,-0.0001296408825300026,8.9331224695,38.6,50.7,0.3134715025906736
BWE,2023,12.3853454213,0.001451111475,0.000811262787750141,1.4420452957,35.14,46.18,0.3141718838929994
CII,2023,28.4550770947,0.000304649879,-0.005932580249211602,2.9015654251,15.93,13.95,-0.1242937853107345
CMG,2023,28.8778942075,0.00128874095,-0.000800629833146536,1.2236042949,39.19,49.25,0.2566981372799184
CTD,2023,37.3875454097,0.000226155638,-0.0009154770503682679,1.5753276702,67.78,68.7,0.013573325464738885
CTG,2023,9.6858451598,0.001699791545,0.0007494201853713899,15.1482816885,27.1,37.8,0.3948339483394832
CTR,2023,27.7828420959,0.0028558688360000003,0.0020415046312159775,2.4788213711,87.98,124.5,0.4150943396226415
CTS,2023,32.1364631791,0.0009629431110000001,0.006209187924836783,3.1498155734,19.79,24.83,0.2546740778170793
DCM,2023,16.0172106792,0.001081208606,-0.0021829929509147063,0.5293967992,29.04,33.62,0.1577134986225895
DGC,2023,14.603162047,0.00279935602,-0.0023218594159312815,0.2917590249,91.9,116.6,0.2687704026115341
DGW,2023,29.4423284347,0.001420770255,0.001663439368244439,1.8395347006,39.3,39.59,0.00737913486005105
DPM,2023,26.1408525966,0.000412251712,-0.0012068311234075192,0.1527959923,31.56,35.0,0.10899873257287711
DXG,2023,72.9874188522,0.000184449188,0.0037757438268117504,1.0291621535,15.87,12.79,-0.19407687460617518
EIB,2023,14.5936608504,0.001008784668,0.0008461115177351311,7.9737956772,16.87,19.3,0.14404267931238884
EVF,2023,20.1859599498,0.000513441247,0.0035637264037913685,4.8207027066,14.81,9.1,-0.3855503038487509
FPT,2023,22.642104984,0.002809692595,0.001258167136042841,1.0139245964,81.72,151.2,0.8502202643171805
FTS,2023,29.6588558622,0.001272653851,-0.0016580035976176506,1.2598321331,28.38,37.87,0.33439041578576456
GAS,2023,15.7719871138,0.001873354425,0.0002501657069147443,0.3438944799,68.7,68.1,-0.008733624454148596
GEX,2023,59.9268655534,0.000270458696,0.001037134767090067,1.5950576047,22.06,17.85,-0.19084315503173152
GMD,2023,11.0008689703,0.0029027463939999996,-0.00030092707539942367,0.3918520904,58.47,65.2,0.11510176158713878
GVR,2023,48.7958259417,0.000530314095,-0.001582498888869221,0.4198993306,21.0,30.35,0.4452380952380953
HAG,2023,7.4683697872,0.002931256583,0.0017896996874567923,2.130415406,13.2,12.05,-0.08712121212121202
HCM,2023,23.1717377041,0.0008323405289999999,-0.00028404314130913626,1.1547751957,17.57,22.71,0.29254410927717706
HDB,2023,6.9824984116,0.002358656472,0.005916709545754458,11.9808336028,16.25,25.5,0.5692307692307692
HDC,2023,33.5598130244,0.000706320026,0.0010348702917282666,1.4627059763,26.52,25.05,-0.05542986425339362
HDG,2023,13.1483002652,0.00118549888,-0.002528257952203702,0.9973516163,22.46,25.91,0.15360641139804093
HHV,2023,16.5067255792,0.000439034717,0.00397055110351564,3.2116764408,14.71,11.65,-0.20802175390890554
HPG,2023,25.4793258989,0.000687708238,0.0033240653023885675,0.8260319443,21.17,22.21,0.04912612187057152
HSG,2023,17.3377229312,0.000774530929,0.0016464601784172373,0.7292944503,21.59,17.93,-0.16952292728114868
IMP,2023,16.4287369762,0.001505675097,0.00154958471772594,0.1477690324,25.17,46.55,0.8494239173619386
